iso3;lake_name;area_km2;lat;lon;scalerank;featurecla;source
CAN;Nahanni do Sul;;61.90634343224268;-126.51658520720652;9;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Natashquan;;51.51670797875312;-62.06599412582849;7;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Nechako;;53.94398657149033;-123.95068835882046;7;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Nelson;;55.270715917261775;-96.84674512432498;4;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Niágara;;43.19109784414499;-79.05475953987549;3;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;None;;55.53977823685042;-107.97457220498107;8;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;North Saskatchewan;;53.10458290638623;-111.46039546419347;4;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Nottaway;;50.378161682161675;-77.84998254333273;7;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Ottawa;;47.18712491700418;-79.42180619447187;6;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Peace;;56.27912147185492;-123.20186427780332;2;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Pelly;;62.40381232188112;-134.01790368160903;8;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Pend Oreille;;48.54080297414062;-117.1817945999341;6;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Porcupine;;67.00598584818704;-140.67447066241468;6;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Péribonka;;49.819543409591766;-71.47667013337991;7;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Rainy;;48.73726187120702;-92.47665707357372;6;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Richelieu;;45.562298097657866;-73.21618958751337;8;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Rio Alsek;;60.12488855634533;-137.7906934589063;6;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Rio Otava;;47.58178803892429;-77.47292707477366;6;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Rupert;;51.37747546992519;-75.7642295989097;6;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Saguenay;;48.60775969907975;-72.06175192234518;8;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Saint John;;46.50960235637636;-68.04847075121998;6;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Saint Marys;;45.24249126332157;-62.29106173181091;8;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Saint-Maurice;;47.44139236783452;-73.15011164411473;8;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Saskatchewan;;53.379104881326114;-99.98357972941014;4;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Severn;;54.15834392950377;-91.08569951580736;7;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Skeena;;55.6272002693242;-128.11377288697093;6;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Slave;;60.35280996214127;-112.44331681043529;2;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;South Saskatchewan;;50.84166510669547;-107.19573532414107;6;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Stewart;;63.66017050769672;-135.27889858319767;7;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Stikine;;57.644668335942846;-129.94831591166377;5;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;São Lourenço;;44.81705103205226;-75.27784192035159;2;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Teslin;;60.065336252921;-132.63112528232986;3;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Thelon;;64.40483565671576;-98.13092820404006;5;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Thlewiaza;;60.25394290790031;-99.36269654602688;8;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Thompson;;50.66378078996807;-120.65718388290946;8;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Vermelho do Sul;;51.961736250771246;-97.17892450415893;6;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;White;;63.07024661141782;-140.06284249710063;7;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Winisk;;54.33898592641013;-86.74475799981073;7;River;NaturalEarth_10m_rivers_lake_centerlines
CAN;Winnipeg;;49.81024829428303;-95.18686290530297;6;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CAN;Yukon;;64.0576003605964;-150.58827547762405;3;River;NaturalEarth_10m_rivers_lake_centerlines
CHE;Doubs;;47.16363528354608;6.248208320747058;8;River;NaturalEarth_10m_rivers_lake_centerlines
CHE;Inn;;47.55152878817642;11.648701614056034;8;River;NaturalEarth_10m_rivers_lake_centerlines
CHE;Reno;;47.63110001112141;9.235863232785148;4;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CHE;Ródano;;46.39318932508069;6.470148228696948;6;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CHE;Ticino;;45.95913995711312;8.665369135088586;8;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CHL;Biobío;;-37.75651590536614;-72.04076463251045;5;River;NaturalEarth_10m_rivers_lake_centerlines
CHL;Copiapó;;-27.597864432541723;-70.01380123162396;8;River;NaturalEarth_10m_rivers_lake_centerlines
CHL;Gallegos;;-51.81965868280175;-70.99211605463677;9;River;NaturalEarth_10m_rivers_lake_centerlines
CHL;None;;-48.26088767289029;-73.13943360929895;9;River;NaturalEarth_10m_rivers_lake_centerlines
CHL;Rio Rapel;;-32.84375236182524;-70.79149981102401;9;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Aksu;;40.812685281828;80.4370514325285;8;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Amarelo;;36.752376212015726;104.81821268966345;3;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Amur;;49.732437918005225;134.32813164138483;3;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Argun;;49.382104272311125;119.97068066639908;3;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Bei;;24.4470560231149;113.19235780124119;7;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Bogcang;;31.803852321909037;86.39037498164703;9;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Bramaputra;;29.12866798722035;95.03700351104936;2;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Bug;;37.46353665530487;99.04817302458311;7;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Chaor;;47.85716661014192;122.66136088114482;8;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Dadu;;30.788618897732213;101.99417861341446;6;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Dali;;37.82198003223524;108.93735890825147;8;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Daling;;41.3517582296699;120.5006856351985;8;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Dam;;33.31012380512762;93.37155620969712;8;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Dan;;32.84569162717237;111.44847740176586;9;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CHN;Dong;;23.796336579789255;114.80549801416085;7;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Duliu;;25.822353695897743;108.49747798190043;8;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Erdao;;42.5947131839766;127.88288937830963;8;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Fen;;37.05218386210816;111.78611448907807;9;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Fuchun;;29.609376130947037;118.95391395561921;7;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CHN;Gagara;;27.997121161205055;82.04558086578143;7;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Gan;;29.501293319753454;116.09854844995864;6;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CHN;Hai;;39.09866185964027;117.33360845865913;7;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Han;;32.641472655950054;111.23603611352696;6;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CHN;Herlen;;47.85278401494307;112.28256423787353;9;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Hongshui;;24.12384679612287;108.09840666236218;4;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Huai;;32.3944249797462;115.09190651329655;7;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Huan;;36.29922063570155;107.57937415343653;9;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Huang;;34.93537603652398;97.46952533102146;3;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CHN;Hudi;;33.078053199792514;118.64743914058694;7;Lake Centerline;NaturalEarth_10m_rivers_lake_centerlines
CHN;Ili;;44.368150367795074;77.81746160931463;7;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Indo;;30.84106349269755;72.0536703095188;3;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Irtich;;47.48746760972792;87.88311925710633;2;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Jialing;;31.756575275215162;106.15018434290818;7;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Jing;;35.11700709665956;107.78980258949464;8;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Jinsha;;27.861475185005222;100.85888839851792;1;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Jiulong;;25.010318793213713;117.37012398607864;9;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Konqi;;40.924339419126866;87.82788296314928;6;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Künes;;43.459772715245926;83.37899949666206;7;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Liao;;41.98745878819558;123.0676580582524;6;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Liu;;24.13230151492296;109.60226754072715;8;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Lohit;;27.989878072608487;96.43926503370263;8;River;NaturalEarth_10m_rivers_lake_centerlines
CHN;Luan;;40.70817973925492;117.90003746811419;8;River;NaturalEarth_10m_rivers_lake_centerlines
