country_iso3;biome;share_pct
ABW;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
AFG;Temperate Conifer / Boreal Forests (Taiga);100.0
AGO;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
ALB;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
AND;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
ARE;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
ARG;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
ARM;Temperate Conifer / Boreal Forests (Taiga);100.0
ATG;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
AUS;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
AUT;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
AZE;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
BDI;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
BEL;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
BEN;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
BFA;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
BGD;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
BGR;Temperate Conifer / Boreal Forests (Taiga);100.0
BHR;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
BHS;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
BIH;Temperate Conifer / Boreal Forests (Taiga);100.0
BLR;Temperate Conifer / Boreal Forests (Taiga);100.0
BLZ;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
BOL;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
BOL;Tundra / Ice;100.0
BRA;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
BRB;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
BRN;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
BTN;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
BWA;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
CAF;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
CAN;Temperate Conifer / Boreal Forests (Taiga);100.0
CHE;Temperate Conifer / Boreal Forests (Taiga);100.0
CHL;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
CHN;Temperate Conifer / Boreal Forests (Taiga);100.0
CIV;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
CMR;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
COD;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
COG;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
COK;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
COL;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
COM;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
CPV;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
CRI;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
CUB;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
CYP;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
CZE;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
DEU;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
DJI;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
DMA;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
DNK;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
DOM;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
DZA;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
ECU;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
EGY;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
ERI;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
ESP;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
EST;Temperate Conifer / Boreal Forests (Taiga);100.0
ETH;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
FIN;Temperate Conifer / Boreal Forests (Taiga);100.0
FJI;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
FRA;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
FSM;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
GAB;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
GBR;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
GEO;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
GHA;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
GIN;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
GMB;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
GNB;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
GNQ;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
GRC;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
GRD;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
GRL;Tundra / Ice;100.0
GTM;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
GUY;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
HND;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
HRV;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
HTI;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
HUN;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
IDN;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
IND;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
IRL;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
IRN;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
IRQ;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
ISL;Temperate Conifer / Boreal Forests (Taiga);100.0
ISR;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
ITA;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
JAM;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
JOR;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
JPN;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
KAZ;Temperate Conifer / Boreal Forests (Taiga);100.0
KEN;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
KGZ;Temperate Conifer / Boreal Forests (Taiga);100.0
KHM;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
KIR;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
KIR;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
KNA;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
KOR;Temperate Conifer / Boreal Forests (Taiga);100.0
KWT;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
LAO;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
LBN;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
LBR;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
LBY;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
LCA;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
LIE;Temperate Conifer / Boreal Forests (Taiga);100.0
LKA;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
LKA;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
LSO;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
LTU;Temperate Conifer / Boreal Forests (Taiga);100.0
LUX;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
LVA;Temperate Conifer / Boreal Forests (Taiga);100.0
MAR;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
MCO;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
MDA;Temperate Conifer / Boreal Forests (Taiga);100.0
MDG;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
MDV;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
MEX;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
MHL;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
MKD;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
MLI;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
MLT;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
MMR;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
MNE;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
MNE;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
MNG;Temperate Conifer / Boreal Forests (Taiga);100.0
MOZ;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
MRT;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
MUS;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
MWI;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
MWI;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
MYS;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
NAM;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
NER;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
NGA;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
NIC;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
NIU;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
NLD;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
NOR;Temperate Conifer / Boreal Forests (Taiga);100.0
NPL;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
NRU;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
NZL;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
OMN;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
PAK;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
PAN;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
PER;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
PHL;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
PLW;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
PNG;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
POL;Temperate Conifer / Boreal Forests (Taiga);100.0
PRK;Temperate Conifer / Boreal Forests (Taiga);100.0
PRT;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
PRY;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
PSE;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
PSE;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
QAT;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
ROU;Temperate Conifer / Boreal Forests (Taiga);100.0
RUS;Temperate Conifer / Boreal Forests (Taiga);100.0
RWA;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
SAU;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
SDN;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
SEN;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
SGP;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
SLB;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
SLE;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
SLV;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
SMR;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
SOM;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
SRB;Temperate Broadleaf & Mixed Forests / Mediterranean;100.0
SSD;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
STP;Tropical & Subtropical Moist Broadleaf Forests / Savannas;100.0
