type_qid;type_label;root_qid;root_label
Q3596827;102/35 su SPA 9000;Q180684;military conflict
Q4388339;1918 Ukrainian coup d'état;Q180684;military conflict
Q85722364;1938 deportation of Jews from Slovakia;Q180684;military conflict
Q127273725;1946 Palestine general strike;Q180684;military conflict
Q4566043;1947 Royal New Zealand Navy mutinies;Q180684;military conflict
Q4566043;1947 Royal New Zealand Navy mutinies;Q350604;battle
Q12158103;1990s Donbas miners' strikes;Q180684;military conflict
Q4617641;2010 Kashmir unrest;Q180684;military conflict
Q97976264;2017 Season of Bullfighting Fair in Granada;Q180684;military conflict
Q66711913;2019 Hong Kong Lennon Wall;Q180684;military conflict
Q94953459;2019 Season of Bullfighting Festival of Corpus Christi in Granada;Q180684;military conflict
Q97970431;2019 Season of Saint Ignatius in Azpeitia;Q180684;military conflict
Q97216201;2020–2022 Slovenian protests;Q180684;military conflict
Q111334724;2022 Beersheba attack;Q180684;military conflict
Q111420818;2022 Bnei Brak shootings;Q180684;military conflict
Q111845482;2022 El'ad attack;Q180684;military conflict
Q111383118;2022 Hadera shooting;Q180684;military conflict
Q111524362;2022 Tel Aviv shooting;Q180684;military conflict
Q111430223;2022 wave of terrorism in Israel;Q180684;military conflict
Q133859307;2023 Datong rape case;Q180684;military conflict
Q124568074;2024 Kiryat Malakhi attack;Q180684;military conflict
Q124290874;2024 Ra'anana attack;Q180684;military conflict
Q133552741;2025 Gaza Strip anti-Hamas protests;Q180684;military conflict
Q4031158;3M8;Q180684;military conflict
Q4031162;3М9;Q180684;military conflict
Q3599282;51T6 Gorgon;Q180684;military conflict
Q4640332;53T6;Q180684;military conflict
Q3118356;59 minutes strike;Q180684;military conflict
Q1130330;9K31 Strela-1;Q180684;military conflict
Q329148;9K310 Igla-1;Q180684;military conflict
Q17277328;9K333 Verba;Q180684;military conflict
Q5653155;9K338 Igla-S;Q180684;military conflict
Q1051186;9K34 Strela-3;Q180684;military conflict
Q633510;9K35 Strela-10;Q180684;military conflict
Q147847;9K38 Igla;Q180684;military conflict
Q11188509;9M311;Q180684;military conflict
Q65226806;9M318;Q180684;military conflict
Q4032821;9M38;Q180684;military conflict
Q1084294;A-350;Q180684;military conflict
Q277754;A–135 anti-ballistic missile system;Q180684;military conflict
Q28532983;Ababeel;Q180684;military conflict
Q16335379;Abalroamento aéreo;Q180684;military conflict
Q3040277;Abastecimento aéreo;Q645883;civil conflict
Q7995869;abolição de monarquia;Q180684;military conflict
Q2892865;Abraço de urso;Q180684;military conflict
Q4348173;absolute war;Q198;war
Q4348173;absolute war;Q180684;military conflict
Q4348173;absolute war;Q350604;battle
Q2415157;abuso político da psiquiatria;Q180684;military conflict
Q4006775;Abuso político da psiquiatria na União Soviética;Q180684;military conflict
Q93430598;academic dispute;Q180684;military conflict
Q506259;ação direta;Q180684;military conflict
Q3631521;Ação direta;Q645883;civil conflict
Q676027;Ação Pauliana;Q180684;military conflict
Q3309962;Ação policial;Q645883;civil conflict
Q451584;ação popular;Q180684;military conflict
Q4215744;accounting scandal;Q180684;military conflict
Q116430223;Acefalism;Q180684;military conflict
Q123138957;aceifa;Q645883;civil conflict
Q102197252;Ações judiciais pós-eleitorais relacionadas à eleição presidencial de 2020 nos EUA;Q180684;military conflict
Q422635;action art;Q180684;military conflict
Q7356125;Acusações de corrupção contra Rod Blagojevich;Q180684;military conflict
Q123248286;AD-08;Q180684;military conflict
Q4680016;Adam and Eve in LDS doctrine;Q180684;military conflict
Q2889084;Administração militar;Q645883;civil conflict
Q129820183;Administrative court cases in mainland China;Q180684;military conflict
Q133520154;Administrative disputes;Q180684;military conflict
Q11626120;Administrative Litigation;Q180684;military conflict
Q129820369;Administrative Litigation (mainland China);Q180684;military conflict
Q129820379;Administrative Reconsideration;Q180684;military conflict
Q133890420;Administrative reconsideration case filed at Ministry of Industry and Information Technology of China;Q180684;military conflict
Q129820225;Administrative Reconsideration cases;Q180684;military conflict
Q131567018;Administrative Review Tribunal decision;Q180684;military conflict
Q11640222;advance and occupation;Q180684;military conflict
Q11640222;advance and occupation;Q645883;civil conflict
Q11640222;advance and occupation;Q350604;battle
Q4686864;advisory opinion;Q180684;military conflict
Q15104954;aerial interception;Q645883;civil conflict
Q125887591;aerial naval mine delivery;Q180684;military conflict
Q125887591;aerial naval mine delivery;Q645883;civil conflict
Q125887591;aerial naval mine delivery;Q350604;battle
Q4688999;affirmative action bake sale;Q180684;military conflict
Q114363090;agrarian uprising;Q180684;military conflict
Q114363090;agrarian uprising;Q350604;battle
Q16486639;Aipenkuit;Q180684;military conflict
Q1897017;air battle;Q180684;military conflict
Q1897017;air battle;Q178561;rebellion
Q1897017;air battle;Q645883;civil conflict
Q1897017;air battle;Q350604;battle
Q18015493;air combat;Q180684;military conflict
Q290105;Air Defense Anti-Tank System;Q180684;military conflict
Q4698343;air offensive;Q180684;military conflict
Q4698343;air offensive;Q645883;civil conflict
Q4698343;air offensive;Q350604;battle
Q1373607;Air raids of the Battle of the Gilbert Islands;Q180684;military conflict
Q1373607;Air raids of the Battle of the Gilbert Islands;Q645883;civil conflict
Q1373607;Air raids of the Battle of the Gilbert Islands;Q350604;battle
Q4698397;air warfare in Yugoslavia;Q180684;military conflict
Q952209;air warfare of World War II;Q180684;military conflict
Q76370269;air-to-surface warfare;Q180684;military conflict
Q89541131;airborne warfare;Q180684;military conflict
Q2652759;Akash;Q180684;military conflict
Q105438625;Akash-NG;Q180684;military conflict
Q133297584;Algerian cave warfare;Q180684;military conflict
Q134302830;Alicante in the Spanish Civil War;Q180684;military conflict
Q2583287;All Japan Women's Pro-Wrestling;Q180684;military conflict
Q18015698;all-weather interception;Q645883;civil conflict
Q19606784;Allied bombing;Q180684;military conflict
Q19606784;Allied bombing;Q645883;civil conflict
Q19606784;Allied bombing;Q350604;battle
Q127773696;Allied bombing of Yugoslavia in World War II;Q180684;military conflict
Q127773696;Allied bombing of Yugoslavia in World War II;Q645883;civil conflict
Q127773696;Allied bombing of Yugoslavia in World War II;Q350604;battle
Q4738731;Alysh;Q180684;military conflict
Q117020505;AMAN;Q645883;civil conflict
